"국가이름","국내총생산","국내총생산_순위","X1인당국내총생산","X1인당국내총생산_순위","인구","인구_순위","국토면적","국토면적_순위","국민총소득","국민총소득_순위","X1인당국민총소득","X1인당국민총소득_순위","경제성장률","경제성장률_순위","비교물가수준","비교물가수준_순위","실업률","실업률_순위","수출","수출_순위","수입","수입_순위","언론자유지수","언론자유지수_순위","행복지수","행복지수_순위","기대수명","기대수명_순위"
"탄자니아",52090320326,77,936.33,134,60913557,23,94730000,29,51569417122,80,899.83,108,7.1,13,NA,NA,NA,NA,2878409000,85,5590381000,84,30.65,93,3.303,153,"54.43",216
"레바논",51844487742,78,NA,NA,6065922,111,1045000,165,51893552949,78,NA,NA,2.02,132,NA,NA,NA,NA,2844480000,86,19588597000,62,31.15,100,5.199,88,"76.51",96
"리비아",50984362479,79,7998.03,67,6569864,107,175954000,15,51792793257,79,NA,NA,26.68,1,NA,NA,NA,NA,NA,NA,NA,NA,56.79,162,5.566,70,"78.82",64
"마카오",50361201096,80,NA,NA,642090,165,3040,223,NA,NA,NA,NA,9.1,4,NA,NA,2,77,1405867000,92,9448921000,72,NA,NA,NA,NA,"84.57",4
"슬로베니아",48769655479,81,23597.29,34,2081900,148,2027000,152,47524363377,82,22848.52,30,5,39,86,26,6.6,36,31950998000,51,31205193000,52,21.69,32,5.948,51,"78.5",67
"우즈베키스탄",48717685984,82,NA,NA,32807368,43,44740000,54,50604685984,81,NA,NA,5.3,37,NA,NA,NA,NA,NA,NA,NA,NA,60.84,165,6.096,44,"74.28",130
"가나",47330016343,83,1641.49,122,30096970,48,23854000,80,45763617478,83,1587.16,97,8.51,6,NA,NA,NA,NA,NA,NA,NA,NA,18.41,23,4.657,108,"64.36",190
"리투아니아",47168303744,84,16680.68,42,2864459,140,6528600,122,45613611374,84,15781.63,39,3.83,75,NA,NA,7.1,30,29919020000,53,32537252000,51,22.2,36,5.952,50,"76.77",92
"투르크메니스탄",42355428571,85,NA,NA,5942561,112,48810000,50,40781428571,86,NA,NA,6.5,25,NA,NA,NA,NA,NA,NA,NA,NA,84.2,178,5.636,68,"70.68",160
"세르비아",41431648801,86,NA,NA,8733407,97,8836000,111,38548514407,91,NA,NA,1.87,140,NA,NA,13.5,9,17031423000,57,21993696000,56,29.58,76,5.398,78,"75.9",107
"아제르바이잔",40747792238,87,4131.62,92,10014575,90,8660000,112,38988345457,89,NA,NA,0.1,170,NA,NA,NA,NA,9089971000,68,5559650000,85,59.73,163,5.201,87,"73.03",144
"코트디부아르",40388624117,88,1662.44,120,25531083,53,32246000,67,39039633764,88,NA,NA,7.8,8,NA,NA,NA,NA,12436593000,64,9555420000,71,NA,NA,NA,NA,NA,NA
"튀니지",40256675209,89,3490.83,101,11783168,78,16361000,91,38849991107,90,3368.85,83,1.96,137,NA,NA,15.4,7,14433022000,61,20681319000,59,30.91,97,4.592,111,"76.51",97
"요르단",40068308516,90,4129.75,93,10069794,88,8932000,110,39863097249,87,4108.6,78,1.97,135,NA,NA,NA,NA,7491472000,73,20406476000,60,41.71,132,5.161,90,"80.88",30
"볼리비아",37508642113,91,3393.96,102,11379861,82,109858000,26,36391642113,93,3292.88,84,4.2,58,NA,NA,3.2,70,7752347000,72,9303697000,73,32.45,110,5.752,62,"69.8",164
"콩고민주공화국",37241300949,92,457.85,148,86727573,16,234486000,11,36499708633,92,448.73,114,3.7,81,NA,NA,NA,NA,NA,NA,NA,NA,51.6,154,4.245,132,"58.07",205
"바레인",35307127660,93,23655.04,33,1637896,151,77100,186,31889298670,95,21365.16,31,3.88,71,NA,NA,NA,NA,6964654000,74,13158883000,67,60.85,166,6.105,43,"79.14",54
"카메룬",34798596482,94,1446.7,127,25312993,54,47544000,51,34298677741,94,1425.92,102,3.18,94,NA,NA,NA,NA,NA,NA,NA,NA,40.92,129,4.975,99,"56.46",208
"라트비아",30264454642,95,15594.29,46,1911108,150,6449000,123,30045549489,96,15410.58,42,4.55,49,74,29,8.7,23,12971652000,63,15851856000,66,19.63,24,5.933,53,"74.41",127
"파라과이",29734895249,96,4365.53,90,6981981,106,40675200,58,28164883990,97,4135.03,77,0.77,166,NA,NA,4.6,52,8679987000,69,11874809000,68,32.32,107,5.681,64,"77.55",80
"에스토니아",25921079612,97,19704.66,38,1303798,156,4523000,130,25397715459,98,19393.02,34,4.85,44,79,27,5.8,40,14538561000,60,16629652000,64,14.08,12,5.739,63,"74.98",122
"우간다",25891058946,98,604.04,146,45711874,31,24155000,79,25280612723,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.77,117,4.161,135,"54.7",213
"잠비아",25808666422,99,1509.8,125,18137369,66,75261000,37,25003054375,100,1462.67,101,4.08,65,NA,NA,NA,NA,8150692000,70,8738232000,76,35.36,113,4.377,125,"53.74",218
"엘살바도르",24805439600,100,3889.31,98,6445405,108,2104000,151,23357099600,103,3662.22,81,2.32,124,NA,NA,NA,NA,NA,NA,NA,NA,27.78,66,6.167,40,"75.11",120
"네팔",24472013234,101,835.08,135,29942018,49,14718000,93,24733612841,101,NA,NA,7.5,10,NA,NA,NA,NA,NA,NA,NA,NA,32.05,106,4.88,101,"68.51",168
"아이슬란드",23909289979,102,70056.87,4,340566,179,10300000,106,23964938654,102,71531.79,4,3.64,82,167,1,2.7,74,4864457000,79,6969790000,80,14.1,13,7.495,4,"81.61",19
"온두라스",22978532897,103,2480.13,111,9568688,93,11249000,101,21331805864,105,2302.39,90,4.79,45,NA,NA,NA,NA,4564203000,81,9684400000,70,45.23,141,5.504,72,"71.28",157
"캄보디아",22158209503,104,1384.42,128,16482646,72,18104000,88,20800209503,108,NA,NA,6.81,19,NA,NA,NA,NA,12089453000,65,NA,NA,45.9,142,4.433,120,"65.23",183
"트리니다드토바고",22104775829,105,16145.18,44,1375443,153,513000,170,21365544362,104,15605.25,41,-2.34,177,NA,NA,NA,NA,NA,NA,NA,NA,22.79,39,6.192,38,"73.39",140
"키프로스",21651791751,106,25233.57,31,1198427,158,925000,166,21090796303,106,17880.36,37,3.88,72,NA,NA,11.1,14,3343814000,84,9290793000,74,19.85,25,5.762,61,"78.97",57
"파푸아뉴기니",21088758485,107,2555.85,110,8586525,99,46284000,52,20288655744,109,2458.88,89,2.2,130,NA,NA,NA,NA,NA,NA,NA,NA,26.19,53,NA,NA,"67.48",173
"아프가니스탄",20815300220,108,NA,NA,37209007,39,65286000,39,21017148562,107,NA,NA,2.6,115,NA,NA,NA,NA,NA,NA,NA,NA,37.28,118,3.632,145,"52.07",224
"보스니아-헤르체고비나",18168579578,109,5180.64,84,3501774,134,5121000,126,18170481157,110,NA,NA,3.03,102,NA,NA,NA,NA,6399889000,75,10500841000,69,NA,NA,NA,NA,NA,NA
"짐바브웨",17845821400,110,1079.61,132,17297495,68,39076000,59,15793652039,114,955.46,107,3.45,87,NA,NA,NA,NA,NA,NA,NA,NA,40.53,126,3.692,144,"58.95",203
"보츠와나",17406530781,111,7595.6,69,2374636,143,58173000,44,17040530781,111,7435.89,60,2.36,123,NA,NA,NA,NA,NA,NA,NA,NA,25.29,48,3.59,146,"55.22",212
"라오스",16853079615,112,2457.38,112,7064242,104,23680000,82,15963616763,112,NA,NA,6.89,17,NA,NA,9.4,17,NA,NA,NA,NA,66.41,170,4.623,110,"64.97",184
"세네갈",16374743754,113,1033.07,133,16743859,71,19671000,86,15805128437,113,997.13,106,6.79,21,NA,NA,NA,NA,2544037000,88,6102833000,83,25.61,50,4.631,109,"62.47",196
"말리",15288163367,114,824.52,137,19689140,61,124019000,22,14916207900,115,NA,NA,5.3,36,NA,NA,NA,NA,NA,NA,NA,NA,36.15,115,4.447,118,"55.73",211
"그루지야",15159281211,115,4078.25,95,3904204,132,6970000,120,14346202152,116,NA,NA,4.99,40,NA,NA,NA,NA,2727971000,87,7979435000,78,27.34,61,4.34,128,"78.42",70
"자메이카",14768134912,116,5109.55,85,2906339,139,1099000,164,14262011424,117,4934.44,73,0.48,169,NA,NA,11.7,11,NA,NA,NA,NA,11.33,6,5.89,56,"73.83",134
"가봉",14622880886,117,7220.69,70,2109099,146,26767000,74,13681453152,118,6755.82,62,1.1,160,NA,NA,NA,NA,NA,NA,NA,NA,32.37,108,4.758,103,"52.21",223
"니카라과",13814261536,118,2221.81,116,6351157,109,13037000,96,13424061796,120,2159.05,92,4.86,43,NA,NA,NA,NA,NA,NA,NA,NA,30.41,90,6.141,41,"73.74",135
"모리셔스",13338147523,119,10547.22,56,1271368,157,204000,176,13510385309,119,10678.98,51,3.8,77,NA,NA,7.1,31,2369314000,90,5255961000,87,26.45,56,5.891,55,"76.03",104
"나미비아",13244597345,120,5227.18,83,2641996,142,82429000,32,13051626618,122,5151.02,72,-0.77,175,NA,NA,NA,NA,4773190000,80,6609679000,82,20.24,26,4.441,119,"51.04",226
"알바니아",13039352744,121,4537.86,88,2938428,137,2875000,142,13142933475,121,NA,NA,3.84,74,NA,NA,13.8,8,2301439000,91,5293923000,86,29.49,75,4.586,112,"78.63",66
"부르키나파소",12873114800,122,670.71,143,20321560,59,27422000,72,12471204115,124,649.77,112,6.74,22,NA,NA,NA,NA,NA,NA,NA,NA,23.33,41,4.424,121,"56.2",209
"몰타",12537750733,123,26945.98,30,433245,175,32000,204,11650173827,128,27040.92,28,6.42,26,NA,NA,4.6,53,4076018000,82,6836100000,81,27.44,65,6.627,22,"80.6",36
"적도기니",12486753871,124,9850.01,60,1360104,154,2805000,143,9752482997,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.47,171,NA,NA,"64.95",185
"모잠비크",12333859926,125,415.72,151,31408823,47,79938000,33,11913878222,126,401.56,116,3.71,80,NA,NA,NA,NA,NA,NA,NA,NA,31.12,99,4.417,123,"54.08",217
"바하마",12162100000,126,30762.01,25,403095,176,1388000,158,11907020000,127,30116.83,25,1.44,154,NA,NA,NA,NA,469304000,98,3427821000,90,NA,NA,NA,NA,"72.86",146
"브루나이",12128089002,127,28290.59,28,439336,174,577000,169,12885364617,123,NA,NA,1.33,156,NA,NA,9.3,19,5587038000,78,3087541000,91,51.48,153,NA,NA,"77.52",82
"아르메니아",11536590636,128,3936.8,97,2936706,138,2974000,140,12034267028,125,NA,NA,7.5,9,NA,NA,17.8,5,NA,NA,NA,NA,29.99,80,4.321,129,"75",121
"마다가스카르",11499803807,129,449.72,149,26969642,51,58729500,43,11146042743,129,NA,NA,4.17,60,NA,NA,NA,NA,NA,NA,NA,NA,26.2,54,3.774,143,"66.14",179
"몽골",11488046881,130,3735.16,100,3166244,136,156412000,17,9875455021,132,3210.85,85,5.88,30,NA,NA,6.4,37,6200700000,76,4335500000,89,29.05,71,5.125,94,"70.48",161
"마케도니아",11337827332,131,5442.61,81,2086720,147,2571000,147,10860315685,130,NA,NA,0.02,172,NA,NA,22.4,2,5663747000,77,7716594000,79,NA,NA,5.185,89,"76.61",94
"기니",10491474930,132,NA,NA,13398180,75,24586000,77,10440844930,131,NA,NA,12.7,2,NA,NA,NA,NA,NA,NA,NA,NA,31.9,104,3.964,140,"61.49",198
"차드",9981303726,133,669.89,144,15814345,73,128400000,19,9850740756,133,NA,NA,-2.95,179,NA,NA,NA,NA,NA,NA,NA,NA,38.45,123,4.301,131,"50.96",227
"베냉",9273558272,134,829.8,136,11801595,77,11476000,100,9260647272,135,828.64,109,5.58,33,NA,NA,NA,NA,NA,NA,NA,NA,30.16,84,4.141,136,"62.66",194
"르완다",9136689514,135,748.39,141,12794412,76,2634000,146,8935855029,136,731.94,111,NA,NA,NA,NA,NA,NA,806175000,95,2875996000,92,52.9,156,3.408,151,"60.93",199
"콩고",8722553001,136,1658.04,121,5542197,116,34200000,63,7938606543,141,1509.03,99,-4.59,182,NA,NA,NA,NA,NA,NA,NA,NA,35.42,114,4.559,114,"57.04",206
"아이티",8408150518,137,765.68,140,11242856,83,2775000,145,8461813294,138,NA,NA,1.17,159,NA,NA,NA,NA,NA,NA,NA,NA,26.82,60,3.582,148,"64.45",189
"몰도바",8128493432,138,2289.88,115,4029750,131,3385000,137,8641007622,137,2132.94,93,4.5,51,NA,NA,4.1,62,2425100000,89,4831500000,88,30.01,81,5.64,67,"71.29",156
"니제르",8119732793,139,378.06,152,23176691,57,126700000,20,7941754834,140,NA,NA,4.89,41,NA,NA,NA,NA,NA,NA,NA,NA,27.4,63,4.166,134,"56.2",210
"키르기즈스탄",7564738836,140,1219.82,129,6218616,110,19994900,85,7341456684,142,1214.44,105,4.58,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"소말리아",7368560695,141,NA,NA,15636171,74,63766000,40,7336560695,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.04,168,4.982,98,"53.17",220
"타지키스탄",7145701019,142,NA,NA,9292000,95,14137600,94,8244055721,139,NA,NA,7.1,14,NA,NA,NA,NA,1198000000,93,NA,NA,50.06,149,5.352,80,"68.38",170
"말라위",6303277591,143,338.48,153,19718743,60,11848000,98,6160876577,144,330.84,117,4,66,NA,NA,NA,NA,NA,NA,NA,NA,27.43,64,3.587,147,"54.58",214
"피지",5061202767,144,5589.39,80,918757,160,1827000,154,4817202767,148,5319.93,71,3.8,76,NA,NA,NA,NA,995655000,94,2409209000,94,26.55,57,NA,NA,"73.21",142
"모리타니",5024705934,145,1136.76,131,4661149,127,103070000,27,4967306925,146,NA,NA,3.5,86,NA,NA,NA,NA,19886776000,55,35260811000,48,29.09,72,4.356,126,"63.78",192
"토고",4812554346,146,617.18,145,8186384,101,5679000,124,4978850340,145,NA,NA,5.57,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"바베이도스",4796845981,147,16788.68,41,287010,183,43000,199,4588118440,149,NA,NA,1.67,148,NA,NA,NA,NA,485392000,97,1600162000,96,NA,NA,NA,NA,"75.66",113
"몬테네그로",4774086094,148,NA,NA,629355,167,1381000,159,4873178837,147,NA,NA,4.3,53,NA,NA,NA,NA,420809000,100,2612119000,93,31.21,103,5.347,81,"78.91",60
"몰디브",4597083304,149,10535.79,58,451738,172,30000,205,4233832248,151,NA,NA,8.83,5,NA,NA,NA,NA,200175000,102,2361212000,95,37.95,120,NA,NA,"76.02",105
"스와질란드",4408564260,150,3224.39,103,1415414,152,1736000,156,4422468970,150,NA,NA,2,133,NA,NA,NA,NA,NA,NA,NA,NA,51.46,152,NA,NA,"52.56",222
"시에라리온",3774270392,151,499.43,147,7883123,102,7230000,118,3663270392,152,484.74,113,4.16,61,NA,NA,NA,NA,NA,NA,NA,NA,29.98,79,4.571,113,"59.01",202
"가이아나",3675631961,152,4725.32,87,786508,164,21497000,83,3654702179,153,4698.41,74,2.92,105,NA,NA,NA,NA,NA,NA,NA,NA,26.25,55,NA,NA,"69.02",167
"부룬디",3477502178,153,320.09,154,11575964,79,2783000,144,3473606177,154,319.73,118,0.52,168,NA,NA,22,3,NA,NA,NA,NA,55.26,159,2.905,156,"61.79",197
"수리남",3324385325,154,5900.56,78,573085,170,16382000,90,3142779826,155,5578.22,68,0.1,171,NA,NA,NA,NA,NA,NA,NA,NA,16.44,21,NA,NA,"72.78",148
"안도라",3012914131,155,NA,NA,NA,NA,47000,194,NA,NA,NA,NA,1.87,139,NA,NA,NA,NA,NA,NA,NA,NA,22.21,37,NA,NA,"82.91",6
"동티모르",2954621000,156,NA,NA,1352360,155,1487000,157,2594260817,157,NA,NA,-8,183,NA,NA,NA,NA,25079000,108,350788000,104,30.81,95,NA,NA,"70.15",163
"레소토",2639386291,157,1181.81,130,2292682,144,3036000,139,2957386291,156,1324.2,103,5.59,32,NA,NA,NA,NA,NA,NA,NA,NA,28.78,68,3.808,141,"53.04",221
"부탄",2511852941,158,3110.23,105,826229,163,3839400,134,2326323529,158,2880.5,87,6.82,18,NA,NA,NA,NA,572729000,96,1028784000,97,30.73,94,5.082,97,"71.09",158
"라이베리아",2158000000,159,NA,NA,4977720,123,11137000,102,1855110103,160,NA,NA,2.45,121,NA,NA,NA,NA,NA,NA,NA,NA,30.33,89,3.495,149,"59.79",200
"중앙아프리카공화국",1949411659,160,418.41,150,4825711,125,62298000,41,1954465821,159,419.5,115,4.3,54,NA,NA,NA,NA,NA,NA,NA,NA,35.25,112,3.083,155,"53.26",219
"지부티",1844674435,161,NA,NA,985690,159,2320000,148,1829341326,161,NA,NA,4.09,64,NA,NA,NA,NA,NA,NA,NA,NA,70.77,173,NA,NA,"63.97",191
"벨리즈",1838000000,162,4905.51,86,390231,177,2297000,149,1687156100,163,4502.91,75,0.88,163,NA,NA,9.3,20,NA,NA,NA,NA,24.55,47,5.956,49,"69.09",166
"카보베르데",1753736712,163,3209.69,104,560349,171,403000,171,1687518245,162,NA,NA,3.89,70,NA,NA,NA,NA,NA,NA,NA,NA,20.39,29,NA,NA,"72.66",149
"세인트루시아",1712306556,164,9574.3,62,180454,187,62000,191,1593433926,164,8909.63,55,2.69,111,NA,NA,NA,NA,127002000,103,655009000,99,NA,NA,NA,NA,"78.12",75
"산마리노",1658778454,165,NA,NA,NA,NA,6000,220,NA,NA,NA,NA,1.24,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83.39",5
"앤티가바부다",1532397556,166,NA,NA,NA,NA,44000,198,1492655074,165,NA,NA,3.34,89,NA,NA,NA,NA,62391000,104,629837000,100,NA,NA,NA,NA,"76.92",91
"세이셸",1485994388,167,NA,NA,NA,NA,46000,195,1377994388,166,NA,NA,4.2,57,NA,NA,3.7,67,205623000,101,916951000,98,30.17,85,NA,NA,"75.17",118
"기니비사우",1346933490,168,723.66,142,1953723,149,3613000,135,1349682184,167,NA,NA,5.92,28,NA,NA,NA,NA,NA,NA,NA,NA,30.09,83,NA,NA,"51.3",225
"솔로몬제도",1303453616,169,2132.12,117,635254,166,2890000,141,1223723914,168,NA,NA,3.24,92,NA,NA,NA,NA,458853000,99,447759000,101,NA,NA,NA,NA,NA,NA
"그레나다",1118816679,170,NA,NA,NA,NA,34000,203,1080113472,169,NA,NA,3.73,79,NA,NA,NA,NA,24864000,109,420288000,102,NA,NA,NA,NA,"74.75",125
"감비아",1014621520,171,NA,NA,2228075,145,1130000,163,986631508.8,170,NA,NA,3.5,85,NA,NA,NA,NA,NA,NA,NA,NA,38.36,122,NA,NA,"65.36",182
"세인트키츠네비스",945854481.5,172,NA,NA,NA,NA,26000,207,919112074.1,171,NA,NA,1.74,144,NA,NA,NA,NA,50283000,105,308927000,106,NA,NA,NA,NA,"76.15",102
"바누아투",862879789.4,173,NA,NA,288017,182,1219000,160,853900071.8,172,NA,NA,4.5,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"67.15",176
"사모아",856626506,174,NA,NA,198909,186,284000,173,828226506,173,NA,NA,2.5,120,NA,NA,NA,NA,44434000,106,356388000,103,16.69,22,NA,NA,"74.19",132
"세인트빈센트그레나딘",789629629.6,175,7185.18,71,110488,190,39000,200,788888888.9,174,7178.44,61,1.6,149,NA,NA,NA,NA,42481000,107,329951000,105,NA,NA,NA,NA,"75.75",110
"코모로",648920942.7,176,797.29,138,850910,162,186100,177,654855832.1,175,NA,NA,2.5,118,NA,NA,NA,NA,NA,NA,NA,NA,25.3,49,NA,NA,"64.94",186
"도미니카연방",562540740.7,177,7609.61,68,NA,NA,75000,187,538888888.9,176,NA,NA,-4.21,181,NA,NA,NA,NA,20537000,110,197556000,107,NA,NA,NA,NA,NA,NA
"통가",426057453.1,178,NA,NA,110041,191,75000,188,432857453.1,177,NA,NA,2.7,110,NA,NA,NA,NA,NA,NA,NA,NA,25.68,51,NA,NA,"76.64",93
"상투메프린시페",390871568.6,179,NA,NA,213379,185,96000,182,393098002.8,178,NA,NA,3.87,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65.65",181
"마이크로네시아",336427532.9,180,NA,NA,106983,192,70000,190,390763632.9,179,NA,NA,2,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"팔라우",291544300,181,NA,NA,NA,NA,46000,197,279760100,181,NA,NA,-3.72,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73.63",136
"마셜제도",199399247.1,182,NA,NA,NA,NA,18000,214,264418847.1,182,NA,NA,2.5,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"키리바시",196150061.3,183,NA,NA,NA,NA,81000,184,347131054.6,180,NA,NA,3.1,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"66.85",177
